id	regular_form	past_simple	past_participle
1	abide	abode	abode
2	arise	arose	arisen
3	awake	awoke	awoken
5	bear	bore	borne
6	beat	beat	beaten
7	become	became	become
8	begin	began	begun
9	bend	bent	bent
10	bind	bound	bound
11	bite	bit	bitten
12	bleed	bled	bled
13	blow	blew	blown
14	break	broke	broken
15	bring	brought	brought
16	build	built	built
18	buy	bought	bought
19	catch	caught	caught
20	choose	chose	chosen
21	cling	clung	clung
22	come	came	come
23	creep	crept	crept
24	deal	dealt	dealt
25	dig	dug	dug
26	do	did	done
27	draw	drew	drawn
29	drink	drank	drunk
30	drive	drove	driven
31	eat	ate	eaten
32	fall	fell	fallen
33	feed	fed	fed
34	feel	felt	felt
35	fight	fought	fought
36	find	found	found
37	flee	fled	fled
38	fly	flew	flown
39	forbid	forbade	forbidden
40	forget	forgot	forgotten
41	forgive	forgave	forgiven
42	freeze	froze	frozen
43	get	got	gotten
44	give	gave	given
45	go	went	gone
46	grow	grew	grown
47	hang	hung	hung
48	have	had	had
49	hear	heard	heard
50	hide	hid	hidden
51	hold	held	held
52	keep	kept	kept
53	know	knew	known
54	lay	laid	laid
55	lead	led	led
56	leave	left	left
57	lend	lent	lent
58	lose	lost	lost
59	make	made	made
60	mean	meant	meant
61	meet	met	met
62	pay	paid	paid
64	ride	rode	ridden
65	ring	rang	rung
66	rise	rose	risen
67	run	ran	run
68	say	said	said
69	see	saw	seen
70	seek	sought	sought
71	sell	sold	sold
72	send	sent	sent
73	shake	shook	shaken
75	shoot	shot	shot
76	show	showed	shown
77	shrink	shrank	shrunk
78	sing	sang	sung
79	sink	sank	sunk
80	sit	sat	sat
81	sleep	slept	slept
82	slide	slid	slid
83	speak	spoke	spoken
84	spend	spent	spent
85	spin	spun	spun
86	stand	stood	stood
87	steal	stole	stolen
88	stick	stuck	stuck
89	sting	stung	stung
90	strike	struck	struck
91	swear	swore	sworn
92	sweep	swept	swept
93	swim	swam	swum
94	take	took	taken
95	teach	taught	taught
96	tear	tore	torn
97	tell	told	told
98	think	thought	thought
99	throw	threw	thrown
100	understand	understood	understood
101	wake	woke	woken
102	wear	wore	worn
103	win	won	won
104	write	wrote	written
